LIFE_LADDER,LOG_GDP,SOC_SUPPORT,LIFEEXPECT_BIRTH,FREEDOM,GENEROSITY,PERC_CORRUPT,POS_AFFECT,NEG_AFFECT,CONFIDENCE_NATGOVT,DEM_QUALITY,DEL_QUALITY,GINI_INDEX,GINI_HHINC
3.504881144,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,0.656396449,0.276252508,0.770821095,0.706385911,0.550655007,0.626,0.637864351
3.4613657,9.680226326,0.794936001,58.90000153,0.817621112,-0.259084016,0.806945443,0.729643226,0.267083704,0.718788147,,,0.626,0.616160452
6.980998993,9.640450478,0.898316443,65.54000092,0.713814318,-0.125236154,0.710303426,0.788229942,0.273540527,0.355228692,0.200818866,-0.15146631,0.547285714,0.394136488
6.546896935,9.595779419,0.906693101,65.80000305,0.798935294,-0.025475523,0.771339059,0.755194008,0.324699104,0.198534787,0.063678071,-0.230050266,0.547285714,0.370239496
6.374817371,9.552306175,0.912455142,66,0.806571543,-0.10995803,0.781092763,0.763112426,0.30208382,0.264140248,0.036669046,-0.22936672,0.547285714,0.450316846
6.332929134,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,0.023793146,-0.304572016,0.547285714,0.39262256
6.190921783,9.557932854,0.881505251,66.40000153,0.75060904,-0.126326516,0.763251305,0.749727845,0.349656254,0.16818665,,,0.547285714,0.420397133
4.438439846,9.699062347,0.885949194,66.09999847,0.575595915,-0.056858663,0.954636931,0.627810121,0.235593721,0.140402734,0.222501963,0.08854121,0.354666667,0.385362953
4.865401268,9.740979195,0.907517016,66.19999695,0.636817813,-0.201748475,0.941279948,0.64279449,0.214223832,0.249677315,0.22492975,0.102736883,0.354666667,0.358064651
4.837560654,9.786646843,0.92603606,66.40000153,0.700265527,-0.172343537,0.935988188,0.62185514,0.171699852,0.221241772,0.239210635,0.181327164,0.354666667,0.353391379
5.096901894,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,0.375986755,0.171329618,0.354666667,0.343219519
5.098813534,9.873218536,0.923853278,66.80000305,0.724335909,-0.179109603,0.952014446,0.639021873,0.189090982,0.218995899,,,0.354666667,0.341206521
3.481347799,7.366656303,0.742262065,51.86000061,0.709964514,0.005273402,0.800757825,0.613731802,0.255644113,0.54308641,-0.569490194,-0.474964201,0.394666667,0.692569435
4.418930054,7.375465393,0.705393493,52.40000153,0.659102738,0.012528297,0.692723989,0.579355955,0.359287649,0.668077111,-0.362033367,-0.442156285,0.394666667,0.627472937
4.205634594,7.403866291,0.764401138,52.90000153,0.644681513,0.00834989,0.720542431,0.616066873,0.337300181,0.663711369,-0.426732689,-0.385751069,0.394666667,0.559157968
4.646891117,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,0.585172474,0.353821069,0.540656149,-0.433187962,-0.386786103,0.394666667,0.553144336
4.92723608,7.47052002,0.664859474,53.90000153,0.720743477,-0.004381241,0.757398605,0.710883558,0.342865527,0.622255087,,,0.394666667,0.605102122
